加速度X：	 加速度Y：	 加速度Z：	角速度X：	 角速度Y：	 角速度Z：	 地磁X：	 地磁Y：	 地磁Z：
-0.413894	15.6087	0.127	-0.163681	-0.408043	1.39126	-73.8147	1.0921299999999998	-24.4406
-5.0576	32.1757	-19.532	2.22882	-1.72922	0.576155	-73.3465	0.504634	-22.9653
13.6084	47.5933	-18.6213	1.33604	-2.81821	-0.803921	-73.5496	0.261936	-20.7382
36.5154	25.944000000000006	22.1312	-1.52593	0.754143	0.27368000000000003	-73.2294	0.708156	-21.9739
11.6398	-0.769621	24.332	-3.78446	0.726169	-0.00350861	-73.1228	1.79129	-20.7254
21.0643	-19.2238	8.87313	-2.6526400000000003	0.273997	0.166169	-73.9284	2.39228	-22.3215
36.9556	-20.5784	-13.2892	1.2371299999999998	0.692616	-0.718478	-73.6865	0.845901	-22.8351
13.0777	-4.52016	-12.5784	3.5834300000000003	0.35228400000000004	-1.03532	-72.9949	0.0364172	-21.8592
6.39956	14.2729	-5.00546	2.14125	0.215099	-0.35191500000000003	-73.5427	-0.719749	-21.6152
7.8902	20.8272	-1.0236299999999998	0.12828	0.42249	-0.241833	-73.1959	-1.82694	-22.2488
5.03988	9.74206	0.692044	-0.636178	0.61246	-0.0923934	-73.5566	-0.912289	-23.7214
4.15095	2.9656700000000003	0.536942	-0.384133	0.453481	0.152553	-72.8853	-1.25709	-24.4732
7.52027	2.01047	-1.97519	0.115999	0.227812	0.316391	-72.2195	-0.29906	-23.602
11.3918	2.7814	-3.04256	0.143421	0.181159	0.301846	-72.4564	0.0531898	-24.5865
10.6421	4.3091599999999985	-2.80133	0.0134826	0.165706	0.320265	-71.8782	-0.319179	-22.9861
9.37286	4.65896	-0.994627	-0.121665	0.05963830000000001	0.427622	-72.1069	-0.195953	-23.3543
10.0067	4.312119999999998	-0.270387	-0.227345	-7.81128e-05	0.488228	-72.5575	0.03889	-23.2243
10.5755	4.13015	-0.75715	-0.24414	-0.0775928	0.5496880000000001	-73.2506	0.958739	-24.1991
10.1354	3.962380000000001	-1.81374	-0.174575	-0.0916566	0.603305	-73.0336	1.60973	-23.9463
9.71273	4.05242	-2.31124	-0.309158	-0.174846	0.652586	-72.5811	1.58733	-23.4552
10.0146	4.1134	-1.98007	-0.32294	-0.13148800000000002	0.705735	-72.6017	2.9150400000000003	-23.6884
9.77475	3.780780000000001	-1.82637	-0.472911	-0.162983	0.750734	-72.2504	2.87834	-21.835
8.94744	3.43243	-2.06302	-0.4239270000000001	-0.206524	0.791417	-72.8583	5.02485	-24.0351
8.52525	2.99329	-2.40748	-0.358136	-0.234738	0.874826	-73.4067	4.59315	-23.2926
8.52397	3.3558800000000004	-2.74161	-0.333409	-0.215178	0.956999	-72.4076	5.54433	-22.7955
9.01955	3.73404	-2.806	-0.337278	-0.17826199999999998	0.975453	-72.4247	6.9741100000000005	-22.4087
9.42415	3.55235	-3.03459	-0.37276	-0.06898789999999999	1.04019	-72.54899999999998	7.4294699999999985	-23.1455
9.49796	3.15876	-3.3212900000000003	-0.42029	0.00841789	1.1227200000000002	-72.5598	7.986269999999998	-23.5108
9.75285	2.78058	-3.41224	-0.460106	0.0907937	1.16671	-72.2414	9.19013	-23.6244
9.94911	2.22134	-3.13905	-0.518157	0.16534300000000002	1.17986	-72.133	9.51563	-23.498
9.72386	1.79784	-3.09108	-0.474816	0.24031	1.19171	-71.8102	10.8199	-22.8679
9.31944	1.51075	-2.78531	-0.4744930000000001	0.227639	1.1506299999999998	-71.3899	12.4679	-23.4726
8.990639999999997	1.23895	-2.3589	-0.437079	0.221867	1.18927	-71.1819	12.9181	-24.7073
8.82541	1.52627	-2.37408	-0.382384	0.17582799999999998	1.17165	-70.8557	14.3244	-23.4572
9.18748	1.39069	-1.99719	-0.434128	0.155808	1.17763	-70.5245	14.7524	-23.3315
9.51731	1.07297	-2.13413	-0.561811	0.180521	1.23345	-70.5467	15.2204	-25.3068
9.83162	0.5433680000000001	-2.37626	-0.665094	0.132465	1.11378	-69.8915	17.4895	-23.4313
9.80191	0.165368	-2.26894	-0.6163609999999999	0.138731	1.10373	-70.7949	17.424	-24.4148
9.66698	0.437643	-2.2237	-0.649363	0.145609	1.10449	-70.2505	19.0482	-23.5355
9.44296	0.6497149999999999	-1.92048	-0.573526	0.125135	1.04385	-69.9248	19.3774	-24.2773
9.15777	0.770708	-1.87395	-0.711058	0.113792	1.04259	-69.4989	20.6926	-24.7619
8.96215	0.725198	-1.94844	-0.77505	0.0865533	1.01853	-69.1645	21.6542	-23.2691
8.90254	0.8463139999999999	-1.84257	-0.8788370000000001	0.07371319999999999	0.921249	-68.9532	22.638	-23.1365
